module_id,module_name,status,elapsed_seconds
M1_ingestion,M1 INGESTION,SUCCESS,0.0009
M2_baseline,M2 BASELINE,SUCCESS,0.0031
M3_attack_engine,M3 ATTACK ENGINE,SUCCESS,0.0041
M5_vulnerability_analysis,M5 VULNERABILITY ANALYSIS,SUCCESS,0.0002

TOTAL,AdverScan [full],SUCCESS,0.0
