module_id,module_name,status,elapsed_seconds
M1_ingestion,M1 INGESTION,SUCCESS,0.3141
M2_baseline,M2 BASELINE,SUCCESS,21.0293
M3_attack_engine,M3 ATTACK ENGINE,SUCCESS,105.7235
M5_vulnerability_analysis,M5 VULNERABILITY ANALYSIS,SUCCESS,4.5678
M6_explainability,M6 EXPLAINABILITY,FAILED,10.5824
M7_hardening,M7 HARDENING,SUCCESS,0.0269
M8_retest,M8 RETEST,SUCCESS,21.6279

TOTAL,AdverScan [full],PARTIAL_SUCCESS,0.0
