module_id,module_name,status,elapsed_seconds
M1_ingestion,M1 INGESTION,SUCCESS,0.3215
M2_baseline,M2 BASELINE,SUCCESS,0.2552
M3_attack_engine,M3 ATTACK ENGINE,SUCCESS,0.3409
M5_vulnerability_analysis,M5 VULNERABILITY ANALYSIS,SUCCESS,0.0096
M7_hardening,M7 HARDENING,SUCCESS,0.0102
M8_retest,M8 RETEST,SUCCESS,0.3047

TOTAL,AdverScan [full],SUCCESS,0.0
