module_id,module_name,status,elapsed_seconds
M1_ingestion,M1 INGESTION,SUCCESS,0.306
M2_baseline,M2 BASELINE,SUCCESS,0.5277
M3_attack_engine,M3 ATTACK ENGINE,SUCCESS,13.9112
M5_vulnerability_analysis,M5 VULNERABILITY ANALYSIS,SUCCESS,0.0971
M6_explainability,M6 EXPLAINABILITY,SUCCESS,0.8215
M7_hardening,M7 HARDENING,SUCCESS,0.0021
M8_retest,M8 RETEST,SUCCESS,3.6483

TOTAL,AdverScan [full],SUCCESS,0.0
